dataset,flussOracle,fluss1,fluss2,fluss3,fluss4,fluss5,flussEnsembleSum
Adiac,0.903706561341856,0.9707547520353909,0.903706561341856,0.8007397211976567,0.8736568918880732,0.7403611864035667,0.9008049873316778
ArrowHead,0.985496930254549,0.9947019495772964,0.9802742156374502,0.985496930254549,0.985496930254549,0.9776728583501492,0.985496930254549
Beef,0.9340849368483513,0.9354166666666668,0.9340849368483513,0.7683289756690413,0.7127727768685216,0.6592864600208806,0.8154655144983964
BeetleFly,0.996879867601246,0.9677087273071104,0.996879867601246,0.6630532758136924,0.6654237556242969,0.9692234848484848,0.9677087273071105
BirdChicken,0.9806558309386972,0.4777030808999131,0.973781154870624,0.9806558309386972,0.9798896918070444,0.4805355235042735,0.9806558309386972
CBF,0.7364715422298941,0.7643105365973287,0.7364715422298941,0.4985399780257182,0.6166355813926895,0.4995636685970694,0.48603386365753326
Car,0.8746638093740169,0.9397442680776016,0.8746638093740169,0.6867847481802085,0.7604791580978123,0.7595224746022619,0.6080581739711433
Chinatown,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.9997436461895858,0.9997436461895858,0.9997436461895858,0.9984625836706824,0.5814628959398993,0.5786762698204773,0.9997436461895858
CinCECGTorso,0.6810636594882531,0.6759824168570693,0.6645207623068999,0.6810636594882531,0.6120555138110095,0.6076885270406197,0.6794705949866898
Coffee,0.9880711462450592,0.9880711462450592,0.9880711462450592,0.9821591355599214,0.9801960784313726,0.9801960784313726,0.9801960784313726
Computers,0.9421181953765846,0.4935159817351598,0.9419501425935246,0.9421181953765846,0.4886648371137869,0.4883464065729747,0.9416141166825052
CricketX,0.5919775980817711,0.7874002518254477,0.5653472321433474,0.5919775980817711,0.3989512802364894,0.5833125265046054,0.4015213536142611
CricketY,0.5568242234592274,0.5637855788647039,0.3966336259672689,0.3948841097917321,0.3935904734835814,0.5568242234592274,0.39378796107687497
CricketZ,0.7673948212884603,0.733173365992264,0.5602607728673619,0.7673948212884603,0.3998621305852023,0.48402096102197,0.38972910853850506
Crop,0.3346508299436141,0.247632812496189,0.2430739271468899,0.3346508299436141,0.3311227572883074,0.1825601701475656,0.24280355243321436
DiatomSizeReduction,0.9711166877275212,0.9637356123931268,0.5052090194351277,0.9711166877275212,0.954923561804744,0.9403415520269792,0.9607729258880112
DistalPhalanxOutlineAgeGroup,0.9315514993481095,0.9342348653044747,0.9315514993481095,0.9315514993481095,0.4414473751959257,0.4177291958277568,0.9315514993481095
DistalPhalanxTW,0.7494142507169478,0.7452660570332204,0.7229429623807542,0.6699599887552614,0.6617298859828705,0.7494142507169478,0.7491420260254684
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.9670597484276728,0.9678738938053096,0.9565181880241858,0.9516790573372206,0.9670597484276728,0.9621846846846848,0.9638078431372549
ECGFiveDays,0.9723551195268946,0.9698885296530424,0.955242966751918,0.908181169333254,0.5635851770400223,0.9723551195268946,0.9480161430347968
EOGHorizontalSignal,0.4172229232282716,0.407674973175976,0.4084935342854976,0.4080922923658365,0.4129983292936706,0.4172229232282716,0.4313164008751945
EOGVerticalSignal,0.3354785387133108,0.3400738411901641,0.3330707286316899,0.3333183932594771,0.3353190881212357,0.3354785387133108,0.3380009082815347
FaceAll,0.5475111939310464,0.3992170730218871,0.405082267056251,0.5475111939310464,0.4072287825859905,0.2649010815999224,0.2564164395457842
FaceFour,0.787800307179131,0.7950874928284567,0.5417898798561782,0.5379045034361126,0.5381326170482797,0.787800307179131,0.512961857961858
FacesUCR,0.6682686192481564,0.6529558267514215,0.6682686192481564,0.4660492971262443,0.5110153278904584,0.3407950305424241,0.20605197992221103
FiftyWords,0.5705157197238973,0.5713488287104183,0.5705157197238973,0.5692352498066701,0.5684677548216591,0.5692352498066701,0.5632001330018546
Fish,0.5370343381414859,0.28819302486813,0.4288841330635169,0.4402056617520621,0.4277277045314922,0.5370343381414859,0.2837145168611851
FreezerRegularTrain,0.5157062197338831,0.5190485101894354,0.5157062197338831,0.4663466695345743,0.4569765675640828,0.459104403506411,0.44528140108643943
GunPoint,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.2505289216383365,0.25052892163833657
Ham,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Haptics,0.987277811550152,0.9883321162947938,0.987277811550152,0.9540799476611056,0.9188913345983556,0.9090370927318296,0.955102030124427
Herring,0.5836702984489334,0.379821353851632,0.5836702984489334,0.530520852035283,0.4001682601594958,0.4054406034857894,0.3884295381294302
InlineSkate,0.5916669948734646,0.5794930697870935,0.5755766347002663,0.5916669948734646,0.5781598198093675,0.5818596453747468,0.5652692089626506
InsectWingbeatSound,0.7027639586553324,0.6899781354846006,0.7027639586553324,0.6958042209035222,0.436931209850107,0.6261199737762239,0.4052766393442623
ItalyPowerDemand,0.952630799073226,0.9754307281327352,0.952630799073226,0.936146928081486,0.9084718811008248,0.9061973427923528,0.9361469280814861
