dataset,flussEnsDil,fluss1,fluss2,fluss3,fluss4,fluss5
Adiac,0.903706561341856,0.9707547520353909,0.903706561341856,0.8007397211976567,0.8736568918880732,0.7403611864035667
ArrowHead,0.985496930254549,0.9947019495772964,0.9802742156374502,0.985496930254549,0.985496930254549,0.9776728583501492
Beef,0.9340849368483513,0.9354166666666668,0.9340849368483513,0.7683289756690413,0.7127727768685216,0.6592864600208806
BeetleFly,0.996879867601246,0.9677087273071104,0.996879867601246,0.6630532758136924,0.6654237556242969,0.9692234848484848
BirdChicken,0.9806558309386972,0.4777030808999131,0.973781154870624,0.9806558309386972,0.9798896918070444,0.4805355235042735
CBF,0.7364715422298941,0.7643105365973287,0.7364715422298941,0.4985399780257182,0.6166355813926895,0.4995636685970694
Car,0.8746638093740169,0.9397442680776016,0.8746638093740169,0.6867847481802085,0.7604791580978123,0.7595224746022619
Chinatown,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.9997436461895858,0.9997436461895858,0.9997436461895858,0.9984625836706824,0.5814628959398993,0.5786762698204773
CinCECGTorso,0.6810636594882531,0.6759824168570693,0.6645207623068999,0.6810636594882531,0.6120555138110095,0.6076885270406197
Coffee,0.9880711462450592,0.9880711462450592,0.9880711462450592,0.9821591355599214,0.9801960784313726,0.9801960784313726
Computers,0.9421181953765846,0.4935159817351598,0.9419501425935246,0.9421181953765846,0.4886648371137869,0.4883464065729747
CricketX,0.5919775980817711,0.7874002518254477,0.5653472321433474,0.5919775980817711,0.3989512802364894,0.5833125265046054
CricketY,0.5568242234592274,0.5637855788647039,0.3966336259672689,0.3948841097917321,0.3935904734835814,0.5568242234592274
CricketZ,0.7673948212884603,0.733173365992264,0.5602607728673619,0.7673948212884603,0.3998621305852023,0.48402096102197
Crop,0.3346508299436141,0.247632812496189,0.2430739271468899,0.3346508299436141,0.3311227572883074,0.1825601701475656
DiatomSizeReduction,0.9711166877275212,0.9637356123931268,0.5052090194351277,0.9711166877275212,0.954923561804744,0.9403415520269792
DistalPhalanxOutlineAgeGroup,0.9315514993481095,0.9342348653044747,0.9315514993481095,0.9315514993481095,0.4414473751959257,0.4177291958277568
DistalPhalanxTW,0.7494142507169478,0.7452660570332204,0.7229429623807542,0.6699599887552614,0.6617298859828705,0.7494142507169478
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.9670597484276728,0.9678738938053096,0.9565181880241858,0.9516790573372206,0.9670597484276728,0.9621846846846848
ECGFiveDays,0.9723551195268946,0.9698885296530424,0.955242966751918,0.908181169333254,0.5635851770400223,0.9723551195268946
EOGHorizontalSignal,0.4172229232282716,0.407674973175976,0.4084935342854976,0.4080922923658365,0.4129983292936706,0.4172229232282716
EOGVerticalSignal,0.3354785387133108,0.3400738411901641,0.3330707286316899,0.3333183932594771,0.3353190881212357,0.3354785387133108
FaceAll,0.5475111939310464,0.3992170730218871,0.405082267056251,0.5475111939310464,0.4072287825859905,0.2649010815999224
